year,population,countryLabel,number_of_chosen_sources,a_source_of_those_chosen
1790,184139,New Jersey,1,
1800,211149,New Jersey,1,
1810,245562,New Jersey,1,
1820,277575,New Jersey,1,
1820,1049458,Pennsylvania,1,
1820,1444,Wisconsin,1,
1830,320823,New Jersey,1,
1830,737987,North Carolina,1,
1830,1348233,Pennsylvania,1,
1830,3635,Wisconsin,1,
1840,373306,New Jersey,1,
1840,1724033,Pennsylvania,1,
1840,30945,Wisconsin,1,
1850,92597,California,1,
1850,489555,New Jersey,1,
1850,305391,Wisconsin,1,
1860,379994,California,1,
1860,672035,New Jersey,1,
1860,4837,South Dakota,1,
1860,775881,Wisconsin,1,
1870,560247,California,1,
1870,906096,New Jersey,1,
1870,11776,South Dakota,1,
1870,1054670,Wisconsin,1,
1870,9118,Wyoming,1,
1880,1262794,Alabama,1,t1052736655
1880,864694,California,1,
1880,1131116,New Jersey,1,
1880,98268,South Dakota,1,
1880,1315457,Wisconsin,1,
1880,20789,Wyoming,1,
1890,1213398,California,1,
1890,1444933,New Jersey,1,
1890,348600,South Dakota,1,
1890,1693330,Wisconsin,1,
1890,62555,Wyoming,1,
1900,1487526.5,California,2,
1900,154001,Hawaii,1,
1900,1883834.5,New Jersey,2,
1900,403000,South Dakota,1,
1900,92531,Wyoming,1,
1901,131000,Arizona,1,
1901,1550000,California,1,
1901,1889000,New Jersey,1,
1902,1623000,California,1,
1902,1917000,New Jersey,1,
1902,454000,Oregon,1,
1903,1702000,California,1,
1903,1969000,New Jersey,1,
1904,1792000,California,1,
1905,1893000,California,1,
1906,1976000,California,1,
1907,2054000,California,1,
1907,2314000,New Jersey,1,
1908,2161000,California,1,
1908,2403000,New Jersey,1,
1909,2282000,California,1,
1910,2138093,Alabama,1,http://www.wikidata.org/entity/Q39825
1910,1574449,Arkansas,1,http://www.wikidata.org/entity/Q39825
1910,2377549,California,1,http://www.wikidata.org/entity/Q39825
1910,799024,Colorado,1,http://www.wikidata.org/entity/Q39825
1910,1114756,Connecticut,1,http://www.wikidata.org/entity/Q39825
1910,202322,Delaware,1,http://www.wikidata.org/entity/Q39825
1910,752619,Florida,1,http://www.wikidata.org/entity/Q39825
1910,2609121,Georgia,1,http://www.wikidata.org/entity/Q39825
1910,191909,Hawaii,1,http://www.wikidata.org/entity/Q39825
